V1;V2
77;156
71;146
67;142
67;133
81;130
80;121
96;121
105;125
118;122
133;121
133;129
131;132
141;133
150;132
166;136
172;138
187;140
185;141
178;145
168;147
147;147
148;152
148;163
148;173
148;188
147;196
146;190
135;175
132;170
126;163
119;176
117;180
106;196
105;188
105;179
105;172
105;164
85;174
71;179
63;183
64;181
67;165
70;153
71;153
62;140
53;129
48;122
61;121
74;121
96;123
101;123
103;117
106;101
108;99
116;94
118;88
118;97
124;113
125;119
149;129
148;132
160;133
147;145
134;146
124;155
114;167
112;175
109;173
103;160
93;167
82;172
85;156
100;154
92;148
86;144
81;140
104;140
108;138
106;154
114;155
133;156
134;159
138;166
141;170
138;155
144;142
133;141
122;140
97;139
94;137
109;130
119;129
116;120
113;111
113;110
97;132
87;134
96;138
117;143
118;146
119;149
111;145
111;143
115;143
122;148
91;159
89;167
78;167
79;164
84;157
116;161
120;155
135;144
150;143
164;142
133;136
124;123
116;119
118;108
111;98
111;107
105;116
90;123
82;125
71;129
79;136
88;144
99;149
108;150
112;139
116;136
117;132
119;123
118;114
117;109
97;125
84;132
81;137
96;149
102;154
110;153
125;151
121;158
98;160
84;161
89;155
96;150
108;147
115;146
123;149
126;153
123;153
124;150
126;144
129;135
113;130
103;130
79;129
123;140
155;140
119;142
115;145
114;145
111;146
105;153
99;150
97;147
101;144
99;140
78;136
69;133
59;129
59;128
58;128
72;128
95;129
99;127
106;120
111;119
110;113
111;108
110;100
114;95
115;107
121;117
137;123
155;129
147;140
140;164
139;177
145;180
109;176
107;184
106;163
104;157
104;155
104;152
107;149
109;148
113;148
65;-36
65;-49
64;-59
71;-83
71;-87
66;-75
66;-82
87;-84
104;-85
120;-84
132;-83
141;-83
152;-83
172;-83
193;-82
205;-82
218;-82
214;-74
214;-60
213;-50
212;-37
214;-32
212;-27
77;-30
94;-31
103;-31
114;-30
135;-29
142;-28
157;-28
169;-27
183;-28
200;-28
206;-29
120;-49
95;-50
94;-56
128;-59
113;-64
95;-68
83;-55
79;-48
76;-54
87;-61
124;-64
140;-62
148;-51
158;-48
179;-42
194;-48
182;-54
173;-64
204;-65
201;-62
182;-61
167;-50
118;-37
100;-40
90;-40
83;-43
112;-49
79;-65
81;-67
95;-71
118;-72
132;-71
161;-69
160;-67
162;-58
155;-53
136;-48
151;-40
167;-39
167;-43
196;-40
196;-53
201;-67
190;-69
168;-70
133;-71
93;-70
84;-71
98;-61
125;-51
96;-51
86;-48
77;-63
77;-65
83;-72
109;-69
109;-57
145;-68
155;-59
167;-55
203;-59
202;-78
170;-74
140;-74
122;-74
105;-74
-162;-43
-174;-61
-170;-77
-154;-86
-137;-86
-111;-83
-96;-64
-104;-47
-121;-39
-152;-38
-165;-57
-144;-71
-130;-59
-154;-52
-157;-64
-119;-69
-112;-56
-130;-44
-152;-54
-132;-63
-130;-49
-146;-47
-148;-65
-142;-74
-134;-72
-103;-64
-117;-60
-142;-54
-160;-59
-168;-67
-149;-72
-137;-76
-123;-76
-122;-65
-136;-59
-132;-55
-121;-49
-118;-64
-128;-53
-144;-47
-132;-38
-125;-36
-117;-51
-133;-64
-133;-65
-108;-68
-110;-72
-105;-72
-123;-79
-127;-80
-147;-77
-153;-77
-161;-68
-149;-45
-158;-45
-120;-43
-119;-55
-132;-64
-143;-73
-158;-73
-161;-82
-143;-86
-124;-86
-112;-79
-101;-67
-104;-56
-111;-47
-123;-43
-147;-37
-155;-36
-164;-53
-165;-63
-129;-60
-134;-59
-134;-74
-114;-65
-122;-67
-124;-72
-109;-72
-112;-81
-139;-83
-137;-71
-139;-56
-151;-63
-123;-67
-135;-53
-126;-66
-147;-53
-135;-69
-128;-58
-140;-64
-142;-69
-154;-70
-157;-62
-141;-46
-129;-52
-127;-64
-135;-73
-144;-74
-153;-67
