V1;V2
31;151
39;152
40;150
41;147
42;142
39;135
36;135
34;135
30;140
29;143
29;147
32;151
33;146
34;143
37;144
37;148
32;147
33;141
35;141
37;150
32;150
78;151
83;151
88;150
88;144
87;138
79;134
74;137
72;147
76;150
79;151
80;145
78;142
80;146
74;146
75;139
80;139
83;143
86;147
78;147
80;147
82;149
82;139
84;143
43;137
43;144
43;149
36;156
32;153
32;141
32;138
37;133
38;133
80;155
81;150
77;152
81;154
82;154
73;150
79;143
77;143
77;139
85;135
73;143
39;138
36;141
36;151
36;154
58;136
58;131
57;129
55;127
54;124
53;122
53;120
53;119
56;119
57;119
60;119
43;111
43;106
47;103
50;102
53;101
57;100
62;100
68;102
71;103
73;109
74;113
75;114
49;105
55;106
59;107
63;108
67;107
68;106
69;105
51;107
46;109
52;106
53;103
59;104
60;104
68;105
71;105
73;107
74;110
70;107
66;104
63;103
60;103
57;102
55;104
63;107
69;108
40;114
21;154
20;153
20;150
20;147
21;143
21;141
20;142
20;139
20;137
20;134
20;130
20;128
21;127
21;121
21;119
20;124
20;119
21;115
21;112
22;108
22;106
22;102
22;103
22;99
23;96
24;94
26;90
28;88
30;86
31;86
34;83
37;82
39;81
40;81
43;79
46;79
49;79
52;79
53;79
54;79
57;79
61;79
63;79
67;80
70;81
74;82
75;82
78;82
81;85
83;86
85;87
87;90
88;93
91;97
92;99
94;106
95;111
95;114
96;117
97;121
97;127
97;129
97;136
97;140
97;142
97;144
97;147
97;150
97;153
97;155
97;158
97;161
96;163
96;165
96;166
97;135
98;131
97;134
97;124
21;157
21;159
21;161
22;163
24;166
26;169
26;170
28;172
30;174
33;175
34;176
36;177
37;177
38;178
40;179
42;179
42;180
44;180
46;181
47;181
48;181
52;182
55;182
57;182
66;182
61;182
64;183
65;183
71;183
69;182
72;182
75;181
77;180
80;179
83;178
85;177
90;174
91;173
93;172
95;169
97;166
97;165
96;170
87;176
35;146
34;144
36;145
36;146
36;143
36;142
35;142
34;146
37;147
37;146
36;144
79;146
78;143
81;143
81;144
78;148
99;139
99;141
99;144
100;144
101;145
103;141
105;137
105;134
102;119
101;119
97;119
100;122
102;124
103;128
104;132
105;135
104;123
104;122
102;138
19;144
18;147
17;146
15;143
15;139
15;136
15;134
15;130
15;126
16;123
18;123
18;127
18;129
17;128
17;130
17;135
16;138
17;143
18;143
102;134
102;131
