V1;V2
47;154
55;167
64;174
74;177
85;178
98;176
109;172
116;164
121;156
123;148
125;136
124;127
122;118
119;112
114;107
101;98
93;93
83;87
72;79
62;73
54;68
48;58
44;46
41;38
52;39
60;39
74;38
83;39
92;39
105;39
115;40
126;40
137;41
147;42
50;162
-108;130
-104;139
-98;147
-93;156
-87;164
-83;170
-77;177
-72;183
-71;172
-72;166
-71;159
-71;147
-72;154
-72;139
-72;130
-72;120
-72;111
-73;102
-73;92
-73;78
-73;71
-73;61
-73;54
-73;45
-73;38
-73;31
-72;23
-80;24
-87;25
-93;23
-102;24
-108;23
-68;23
-62;23
-55;24
-49;24
-44;25
219;180
223;181
229;180
235;181
239;182
251;180
247;180
260;180
265;181
274;182
282;181
286;181
292;181
301;180
300;178
296;175
291;170
288;166
282;160
274;154
269;150
260;144
254;140
245;134
239;128
231;124
224;118
220;116
217;111
218;111
226;114
231;117
236;120
242;123
249;125
256;126
262;126
273;124
281;123
289;122
295;118
301;112
303;103
305;96
306;87
306;76
303;68
301;58
299;49
295;44
287;41
279;38
265;35
257;35
246;35
238;35
232;35
227;35
223;36
217;38
211;39
205;38
244;181
249;135
247;124
302;62
68;78
88;89
-136;-93
-132;-88
-125;-82
-122;-77
-117;-72
-114;-69
-109;-64
-104;-59
-98;-52
-93;-47
-86;-40
-81;-35
-74;-29
-69;-26
-62;-21
-60;-19
-141;-98
-144;-100
-149;-106
-153;-112
-158;-117
-151;-116
-139;-116
-133;-116
-125;-114
-117;-113
-113;-113
-101;-113
-98;-112
-95;-112
-89;-112
-81;-112
-77;-112
-70;-111
-60;-112
-52;-113
-45;-112
-38;-112
-30;-110
-26;-110
-61;-25
-59;-33
-61;-41
-61;-51
-61;-55
-61;-61
-61;-69
-61;-71
-61;-74
-60;-82
-61;-87
-61;-94
-61;-102
-61;-108
-61;-122
-61;-127
-61;-131
-61;-140
-61;-148
-61;-155
-61;-163
-61;-173
-61;-182
-61;-185
-61;-186
-62;-186
-63;-111
42;-21
50;-21
60;-20
66;-20
77;-19
83;-20
97;-22
102;-21
93;-20
107;-19
118;-19
127;-19
133;-19
141;-19
42;-24
42;-26
42;-29
43;-33
42;-36
42;-44
42;-49
42;-53
41;-57
41;-59
41;-65
41;-69
41;-73
41;-76
41;-78
41;-83
44;-82
53;-81
62;-81
66;-81
72;-80
80;-81
86;-80
92;-78
98;-78
106;-79
117;-79
121;-79
126;-81
130;-84
134;-86
136;-90
138;-95
139;-103
139;-114
139;-117
139;-126
138;-133
136;-145
136;-148
134;-154
130;-159
120;-159
112;-162
99;-162
89;-163
81;-163
70;-164
67;-163
58;-164
52;-163
46;-162
38;-162
34;-162
267;-83
262;-86
257;-91
252;-95
250;-98
247;-103
245;-108
245;-115
244;-122
243;-129
244;-139
246;-147
248;-151
250;-156
256;-163
257;-164
261;-163
270;-167
276;-167
281;-166
286;-164
290;-163
297;-158
299;-151
299;-140
297;-132
295;-126
293;-121
289;-119
282;-118
274;-120
267;-122
261;-125
257;-129
254;-133
251;-137
248;-145
248;-146
-376;130
-373;132
-368;135
-361;140
-353;145
-342;149
-336;151
-327;156
-323;159
-318;163
-318;158
-319;149
-317;140
-317;132
-318;120
-319;112
-320;106
-320;94
-320;85
-320;77
-320;72
-320;62
-320;55
-321;46
-321;43
-345;95
-337;96
-326;99
-316;103
-308;105
-302;107
-298;108
-332;98
-253;49
-245;52
-240;54
-228;51
-224;47
-224;42
-224;37
-225;34
-229;29
-234;24
-240;21
-243;21
-246;21
-251;22
-253;27
-256;33
-256;38
-256;47
-243;20
-236;21
-233;21
-229;20
-226;18
-223;13
-222;9
-222;3
-222;1
-222;-4
-226;-11
-227;-13
-234;-14
-240;-13
-247;-13
-252;-13
-255;-12
-259;-3
-259;-1
-256;8
-254;11
-249;17
-335;-67
-343;-72
-346;-80
-347;-86
-347;-93
-346;-99
-340;-101
-329;-103
-322;-103
-314;-102
-309;-99
-329;-64
-322;-64
-313;-64
-308;-63
-302;-66
-300;-73
-299;-81
-299;-93
-300;-99
-304;-99
-305;-99
-300;-98
-300;-102
-300;-107
-300;-112
-300;-117
-300;-121
-300;-136
-300;-138
-300;-141
-300;-130
-299;-125
-301;-140
-300;-143
-302;-149
-304;-151
-308;-153
-310;-153
-316;-154
-322;-154
-326;-154
-331;-152
-336;-148
-338;-145
-339;-144
-300;-68
-300;-76
-299;-84
-299;-88
-299;-92
-325;-64
-327;-64
-331;-66
-333;-66
-339;-69
-345;-78
-344;-75
-347;-82
-347;-90
-346;-96
-334;-102
-337;-102
-338;-102
-316;-102
-325;-103
-317;-63
-316;-63
-65;-24
-63;-23
-90;-43
-96;-48
-100;-54
-100;-55
-102;-57
-253;-190
-252;-186
-245;-182
-239;-179
-229;-176
-221;-175
-217;-177
-212;-181
-208;-187
-205;-194
-204;-202
-204;-209
-205;-216
-206;-222
-206;-228
-207;-235
-209;-241
-211;-245
-214;-247
-221;-250
-227;-251
-233;-251
-246;-251
-250;-251
-252;-248
-255;-238
-256;-232
-256;-220
-256;-210
-255;-202
-255;-197
-254;-191
-251;-183
-246;-181
-243;-180
-240;-179
-237;-178
-234;-177
-232;-176
-230;-176
-224;-175
