V1;V2
-252;157
-253;149
-253;142
-254;138
-254;131
-255;125
-255;120
-256;115
-257;109
-259;100
-259;96
-264;88
-267;83
-273;77
-274;73
-275;63
-273;60
-265;59
-259;59
-245;66
-241;68
-231;76
-223;79
-215;77
-214;72
-214;64
-216;57
-218;50
-218;41
-218;33
-215;27
-206;30
-202;35
-194;47
-186;67
-182;80
-177;94
-168;111
-158;135
-156;153
-165;168
-172;177
-184;183
-202;186
-220;183
-238;176
-255;163
-259;156
-256;83
-261;72
-237;73
-236;88
-241;101
-197;93
-208;124
-215;136
-187;146
-177;139
-222;129
-230;148
-212;164
-212;157
-251;134
-232;115
-227;109
-220;99
-200;107
-204;56
-208;42
-209;41
-211;53
-201;62
-201;78
-217;96
-201;114
-185;119
-177;149
-192;168
-206;172
-228;167
-236;164
-243;154
-246;165
-252;168
-233;179
-220;188
-211;190
-207;172
-188;168
-172;151
-179;130
-208;88
-190;106
-169;123
-165;138
-194;130
-216;119
-235;134
-247;120
-246;108
-236;104
-233;104
-195;190
-170;-80
-206;-151
-371;-104
-389;246
-215;112
-214;104
-222;108
-230;99
-228;94
-249;99
-252;105
-248;85
-252;75
-253;72
-210;68
-211;83
-198;88
-194;89
-188;89
-188;75
-188;91
-204;148
-198;155
-212;158
-221;147
-222;146
-225;160
-227;148
