V1;V2
47;154
55;167
64;174
74;177
85;178
98;176
109;172
116;164
121;156
123;148
125;136
124;127
122;118
119;112
114;107
101;98
93;93
83;87
72;79
62;73
54;68
48;58
44;46
41;38
52;39
60;39
74;38
83;39
92;39
105;39
115;40
126;40
137;41
147;42
44;-89
45;-85
48;-84
50;-84
54;-83
57;-84
59;-86
61;-89
61;-92
61;-95
60;-96
58;-97
55;-99
52;-99
49;-99
46;-99
45;-97
44;-95
44;-93
44;-90
89;-87
89;-93
88;-95
91;-98
96;-98
100;-98
104;-92
104;-89
103;-85
100;-84
97;-82
92;-83
91;-86
90;-89
103;-96
71;-105
71;-108
70;-111
69;-115
67;-117
66;-119
66;-122
68;-123
72;-123
76;-122
50;-147
52;-151
57;-156
65;-160
73;-160
80;-159
85;-156
89;-153
91;-150
92;-148
94;-145
56;-141
53;-143
50;-144
47;-147
43;-149
71;-160
76;-160
92;-140
94;-144
98;-149
102;-152
30;-73
28;-79
26;-89
25;-97
24;-106
23;-115
23;-125
23;-140
25;-150
28;-161
29;-166
31;-171
37;-175
40;-177
45;-180
52;-183
62;-187
68;-188
71;-187
81;-185
88;-185
96;-183
101;-180
108;-174
112;-169
116;-159
119;-152
123;-143
126;-133
128;-106
129;-87
130;-77
130;-68
128;-61
124;-53
120;-47
33;-70
36;-60
45;-53
50;-50
56;-48
63;-45
71;-44
74;-44
87;-44
92;-44
99;-46
106;-47
115;-48
121;-49
123;-51
22;-131
128;-119
129;-114
129;-96
133;-93
138;-90
141;-90
143;-94
145;-101
144;-111
141;-120
140;-128
139;-135
135;-141
132;-143
129;-143
128;-142
24;-89
24;-82
21;-78
18;-77
15;-77
12;-79
11;-85
11;-95
11;-103
12;-108
11;-114
10;-121
12;-128
16;-129
20;-127
52;-91
49;-90
52;-93
50;-91
51;-90
51;-92
50;-92
97;-89
98;-90
97;-91
96;-88
96;-90
95;-89
136;-114
17;-102
68;-160
