Base;Algo;K;IS;Rand;ICS
AGGREGATION;ASGBRKGA;2;0.298996885518682;0.112578022530045;551.192893401015
COMPOUND;ASGBRKGA;2;0.214659488183311;0.0384632800394824;356.857142857143
GLASS;ASGBRKGA;1;0;-0.000647800187214178;327.055555555556
ECOLI;ASGBRKGA;2;0.0985381031110795;-0.0170622569067652;213.49
FLAME;ASGBRKGA;1;0;0.0195925349700235;196.592523364486
HABERMAN;ASGBRKGA;1;0;0.0143017922458871;295.939309056956
IRIS;ASGBRKGA;2;0.179716779699287;0.00511653440069916;304.105982905983
IONOSPHERE;ASGBRKGA;2;0.184568163948636;0.0124567098307951;118.92
JAIN;ASGBRKGA;2;0.353330687325565;0.215583383528473;316.507596067918
NEW-THYROID;ASGBRKGA;1;0;0.0314074303922951;208.703875968992
PATHBASED;ASGBRKGA;2;0.258862085413058;-0.00182714622768551;260.68
PIMA.INDIANS;ASGBRKGA;2;0.400979569066771;0.00709088450218786;730.263888888889
R15;ASGBRKGA;2;0.371036995336659;0.0415145497115573;404.937777777778
SEEDS;ASGBRKGA;2;0.269779763281084;0.00479044532842815;183.4
SPIRAL;ASGBRKGA;2;0.23262821951785;0.00435415468343216;270.188034188034
WDBC;ASGBRKGA;1;0;0.00520191770970898;549.516110134739
WINE;ASGBRKGA;2;0.13798077395851;0.0014220487419367;151.74606741573
YEAST;ASGBRKGA;1;0;-0.00163370284679628;1464.78667693493
