Base;Algo;K;ISM;ICH;ICS
AGGREGATION;ASGBRKGA;4;-0.190529829074822;45.5670942150361;646.849166062364
COMPOUND;ASGBRKGA;3;0.0779991397053209;30.5888134494027;317.117794486216
GLASS;ASGBRKGA;1;0.727206262140449;50.8028424355782;330.655844155844
ECOLI;ASGBRKGA;1;0.205097302207003;11.9484691124586;210.89375
FLAME;ASGBRKGA;1;0.647898938905876;28.787640373344;208.586708203531
HABERMAN;ASGBRKGA;1;0.663161768125234;38.6435004510138;300.450980392157
IRIS;ASGBRKGA;1;0.2983681145754;Inf;343.181929181929
IONOSPHERE;ASGBRKGA;1;0.285440853254124;Inf;126.090909090909
JAIN;ASGBRKGA;3;0.0904537029209408;50.4579702159812;277.264745308311
NEW-THYROID;ASGBRKGA;1;0.691833317903637;43.9199679406209;207.323255813954
PATHBASED;ASGBRKGA;3;0.0380167216377722;32.2284815197111;230.955555555556
PIMA.INDIANS;ASGBRKGA;1;0.465721932157532;35.8146256327655;755.625
R15;ASGBRKGA;3;0.244414005965556;74.1800085454522;394.942857142857
SEEDS;ASGBRKGA;2;0.139712378182701;21.4496927853562;178.903571428571
SPIRAL;ASGBRKGA;3;-0.00323400471347773;26.7335196403049;242.948717948718
WDBC;ASGBRKGA;1;0.658857963788049;Inf;561.166959578207
WINE;ASGBRKGA;1;0.182971521589492;Inf;162.385232744783
YEAST;ASGBRKGA;1;0.627212116880476;107.756902874582;1471.77577493261
