Base;Algo;K;IS;Rand;ICS
AGGREGATION;BFESGA;6;0.0549505598613104;0.349665319845413;45.3423223350254
COMPOUND;BFESGA;6;0.202262501190594;0.613272778096225;54.7255639097744
GLASS;BFESGA;4;0.22280430555413;0.290168603721112;54.4489795918367
ECOLI;BFESGA;3;0.220979441478516;0.247317877400185;8.44761904761905
FLAME;BFESGA;4;0.537197806626124;0.161248995920229;89.5607476635514
HABERMAN;BFESGA;3;0.255838307472895;0.0674041774254512;100.219421101774
IRIS;BFESGA;4;0.307693411369911;0.0647895793052708;56.985754985755
IONOSPHERE;BFESGA;6;0.342322012324498;0.417966959790108;14.8714285714286
JAIN;BFESGA;7;0.406439253789483;0.247128857406957;22.6350057449253
NEW-THYROID;BFESGA;4;0.709140358941374;0.634546019300249;131.111205073996
PATHBASED;BFESGA;8;0.278607614833217;0.379801439197104;23.1828571428571
PIMA.INDIANS;BFESGA;7;0.320967690241469;0.120143543113465;121.491071428571
R15;BFESGA;9;0.505811815542615;0.26288699991953;100.53125
SEEDS;BFESGA;5;0.12943589649413;0.353858298589234;10.2952380952381
SPIRAL;BFESGA;12;0.288784000147423;0.0838608151826102;5.10489510489511
WDBC;BFESGA;5;0.244860550156034;0.159821308583863;286.732613607833
WINE;BFESGA;5;0.428435708810642;0.53647057282856;11.4911717495987
YEAST;ESGBRKGA;6;0.270143885985569;0.0881969925209666;0
