Base;Algo;K;IS;ICS
2-FACE;ASGBRKGA;2;0.549582682405225;152.592727272727
400P3C;ASGBRKGA;2;0.412920275149812;215.544444444444
200DATA;ASGBRKGA;5;0.0402248086796884;1350.71563636364
A1;ASGBRKGA;3;0.454238216929615;1321.35727537768
BANKNOTE;ASGBRKGA;1;0;45.9102040816327
BREASTB;ASGBRKGA;2;0.246213004592334;429.32
BROKEN-RING;ASGBRKGA;4;0.282367278700277;950.675450762829
BUPA;ASGBRKGA;2;0.313479192255309;112.117527862209
CHART;ASGBRKGA;3;0.250447044622648;112.7
CONCRETEDATA;ASGBRKGA;2;0.719215628562216;686.895619047619
DBLCA;ASGBRKGA;3;0.135921554743747;239.007722007722
DBLCB;ASGBRKGA;3;0.353110582598283;453.1225
DOWJONES;ASGBRKGA;2;0.297082080886709;85.943722943723
FACE;ASGBRKGA;1;0;575.166380789022
FORESTFIRES;ASGBRKGA;1;0;64.6363636363637
GAMMA400;ASGBRKGA;2;0.243669425571937;166.428571428571
GAUSS9;ASGBRKGA;2;0.350818018874109;260.614814814815
HAYES-ROTH;ASGBRKGA;6;0.134321935832692;217.319088319088
INDIAN;ASGBRKGA;1;0;
INDOCHINACOMBAT;ASGBRKGA;2;0.567029547175866;168.404558404558
MARONNA;ASGBRKGA;1;0;847.847315357562
MORESHAPES;ASGBRKGA;1;0;92.6676923076923
NORMAL300;ASGBRKGA;2;0.408120552218597;39.5
NUMBERS2;ASGBRKGA;2;0.350277815484908;162.901098901099
OUTLIERS;ASGBRKGA;3;0.175587326651462;189.789375
PARKINSONS;ASGBRKGA;1;0;622.88496124031
PIB.MINAS;ASGBRKGA;5;0.0690197287271157;329.723529411765
PIB100;ASGBRKGA;2;0.360261624613459;936.874489795918
RUSPINI;ASGBRKGA;2;0.268956791037812;256.6425
SONAR;ASGBRKGA;5;0.0518903115284092;2987.89417142857
SPHERICAL4D3C;ASGBRKGA;2;0.495198912266609;151.93
SPRDESP;ASGBRKGA;3;0.155570246905139;513.328571428571
SYNTHETICCONTROL;ASGBRKGA;1;0;337.182608695652
TRIPADVISOR;ASGBRKGA;1;0;513.782076079948
UNIFORM400;ASGBRKGA;2;0.185855527645661;806.2075
UNIFORM700;ASGBRKGA;4;0.0542569329443646;512.645714285714
VOWEL2;ASGBRKGA;2;0.23224340269836;486.774891774892
WAVEFORM21;ASGBRKGA;2;0.549582682405225;152.592727272727
