Base;Algo;K;ISM;ICH;ICS
200DATA;ASGBRKGA;3;0.78532036282998;864.621753823723;75.32
400P3C;ASGBRKGA;7;0.533464879722937;1889.11585341552;104.819069767442
A1;ASGBRKGA;6;0.0764986145230112;705.353466162513;1242.32581818182
BANKNOTE;ASGBRKGA;14;0.13635092853879;274.731634583212;264.041716686675
BREASTB;ASGBRKGA;1;;;39.7179962894249
CHART;ASGBRKGA;2;0.204057022564744;39351.8420069916;576.420952380952
CONCRETEDATA;ASGBRKGA;2;0.340267624191476;39.4845634829163;972.154261057174
DBLCA;ASGBRKGA;2;0.0957061058743503;10.4374301192272;116.942474389283
DBLCB;ASGBRKGA;2;0.0977773457155602;Inf;147.02380952381
DOWJONES;ASGBRKGA;3;0.310482301452934;220.501584072062;650.467428571429
FACE;ASGBRKGA;5;0.199116589039647;12248.5920067533;86.3801801801802
GAMMA400;ASGBRKGA;2;0.574697126684658;44202.5411755292;469.870857142857
HAYES-ROTH;ASGBRKGA;2;0.117384125403385;1050.74974267536;89.5965909090909
INDIAN;ASGBRKGA;2;0.535110004656722;26325.6202707479;538.796966687731
INDOCHINACOMBAT;ASGBRKGA;2;0.182977969811978;Inf;50.0476190476191
MARONNA;ASGBRKGA;2;0.341712793570809;8847.00167513111;110.062857142857
NORMAL300;ASGBRKGA;2;0.343792809051195;Inf;257.269090909091
NUMBERS2;ASGBRKGA;5;0.239285905781312;272.692594850519;148.362962962963
OUTLIERS;ASGBRKGA;1;;;123.669574700109
PARKINSONS;ASGBRKGA;2;0.189598735293011;3913.3234877471;160.330769230769
RUSPINI;ASGBRKGA;4;0.369875810221751;44.1041038188507;17.7672727272727
SONAR;ASGBRKGA;2;0.338362777875667;21.4153471239438;176.406593406593
SPHERICAL4D3C;ASGBRKGA;4;0.460719608066137;959.175454325813;112.377777777778
SPRDESP;ASGBRKGA;3;0.322858589015401;41.3004282168594;608.589534883721
SYNTHETICCONTROL;ASGBRKGA;3;0.0321800424221864;1157.24758898546;328.802352941177
TRIPADVISOR;ASGBRKGA;2;0.410637569143532;62954.4828652565;941.179336734694
UNIFORM400;ASGBRKGA;2;0.187232066744759;182998.258599857;343.155
WAVEFORM21;ASGBRKGA;8;0.0290916677507453;296.756019807299;2070.33096470588
2-FACE;ASGBRKGA;3;0.137134073171096;27.4226348045106;158.348571428571
BROKEN-RING;ASGBRKGA;7;0.13320847705583;228.665088326257;167.536176470588
BUPA;ASGBRKGA;1;;;307.030179028133
FORESTFIRES;ASGBRKGA;2;0.385297274155523;96.3730881058619;440.739560814655
GAUSS9;ASGBRKGA;4;0.135007114263267;241.571170492111;313.267936507937
UNIFORM700;ASGBRKGA;6;0.0762238491236235;146.463796941873;210.69022556391
VOWEL2;ASGBRKGA;3;0.241945432043777;380709.22917198;347.259943181818
