Base;Algo;K;IS;ICS
2-FACE;BFESGA;5;0.570713726471623;34.7942857142857
400P3C;BFESGA;5;0.462955846332321;94.546875
200DATA;ESGBRKGA;8;0.261363927394257;0
A1;ESGBRKGA;8;0.230681554510638;0
BANKNOTE;BFESGA;2;0.562030605052933;15.2536443148688
BREASTB;BFESGA;6;0.187525036150958;107.030476190476
BROKEN-RING;ESGBRKGA;8;0.25462040629063;0
BUPA;BFESGA;4;0.362702332448177;11.6109422492401
CHART;BFESGA;3;0.117182294494699;16.5375
CONCRETEDATA;BFESGA;5;0.0812637667708846;358.886476190476
DBLCA;BFESGA;12;0.255725545157544;8.01719901719902
DBLCB;BFESGA;4;0.351465183049835;177.011428571429
DOWJONES;BFESGA;4;0.13034064754088;11.8658008658009
FACE;BFESGA;4;0.274871819598487;281.866590432628
FORESTFIRES;BFESGA;2;0.370944172488802;18.8095238095238
GAMMA400;BFESGA;6;0.392180456687599;16.5475
GAUSS9;BFESGA;5;0.296334261106171;55.64
HAYES-ROTH;BFESGA;8;0.272748233471984;37.5566137566138
INDIAN;BFESGA;2;0.234176462409222;
INDOCHINACOMBAT;BFESGA;4;0.130892946325248;42.8967032967033
MARONNA;BFESGA;1;0;843.554237638784
MORESHAPES;BFESGA;1;0;76.3777777777778
NORMAL300;BFESGA;4;0.80318289088357;6.30222222222222
NUMBERS2;BFESGA;5;0.276245789869139;22.5274725274725
OUTLIERS;BFESGA;6;0.540677335957464;17.0638461538462
PARKINSONS;BFESGA;5;0.236263013264925;245.070210409745
PIB.MINAS;BFESGA;6;0.307576722093741;78.18875
PIB100;BFESGA;8;0.179317270500375;163.916836734694
RUSPINI;BFESGA;8;0.0733472856749519;17.11875
SONAR;ESGBRKGA;10;0.168313497870312;0
SPHERICAL4D3C;BFESGA;5;0.342126208409727;29.11375
SPRDESP;BFESGA;16;-0.00490553990853509;16.99675
SYNTHETICCONTROL;BFESGA;4;0.335719812399497;108.054658385093
TRIPADVISOR;BFESGA;5;0.208361438289541;184.381320806853
UNIFORM400;BFESGA;9;0.208302548238498;42.175
UNIFORM700;BFESGA;7;0.0177193262512149;34.6296428571429
VOWEL2;BFESGA;8;0.23443278782528;34.0606060606061
WAVEFORM21;BFESGA;5;0.570713726471623;34.7942857142857
