Base;Algo;K;ISM;ICH;ICS
200DATA;BFESGA;5;0.511234323465331;791.947199122112;34.7942857142857
400P3C;BFESGA;5;0.416890406312918;1937.01760383069;94.546875
A1;ESGBRKGA;9;0.246348949321903;2559.07968253822;134.5055
BANKNOTE;ESGBRKGA;8;0.183756346205771;730.197623532043;148.782590587255
BREASTB;BFESGA;2;0.0562135120108808;133.336109647959;15.2536443148688
CHART;BFESGA;6;0.0217940859983229;285.579681048028;107.030476190476
CONCRETEDATA;ESGBRKGA;8;0.100030951755975;527.847550586018;131.044937586685
DBLCA;BFESGA;4;0.0437344972379879;89.11836389736;11.6109422492401
DBLCB;BFESGA;4;0.0305913960603219;76.065039481093;16.5375
DOWJONES;BFESGA;5;0.0689311087621772;169.44211966472;358.886476190476
FACE;BFESGA;10;0.255089076672884;202.895075997531;8.01719901719902
GAMMA400;BFESGA;4;0.308160067478252;208.598483484545;177.011428571429
HAYES-ROTH;BFESGA;4;-0.0265827730948984;23.6325954522818;11.8658008658009
INDIAN;BFESGA;4;0.174304958540461;196.490332760886;281.866590432628
INDOCHINACOMBAT;BFESGA;2;0.327600382202972;51.2262535294252;18.8095238095238
MARONNA;BFESGA;6;0.330669531217043;260.354593894167;16.5475
NORMAL300;BFESGA;6;0.287131401444159;121.928239912693;55.64
NUMBERS2;BFESGA;8;0.272748233471984;303.0919065161;37.5566137566138
OUTLIERS;BFESGA;2;0.229850945442048;37.0815630217135;76.8295165394402
PARKINSONS;BFESGA;4;0.0732219390886904;111.41274348961;42.8967032967033
PIB.MINAS;BFESGA;1;0.982044259803989;7426.73725535933;843.554237638784
PIB100;BFESGA;1;0.72993047388603;452.087701923634;76.3777777777778
RUSPINI;BFESGA;4;0.408551832235537;616.609087097622;6.30222222222222
SONAR;BFESGA;4;0.0801116695035082;37.1470576664995;22.5274725274725
SPHERICAL4D3C;BFESGA;6;0.422138242292028;3034.47902660666;17.0638461538462
SPRDESP;BFESGA;5;0.234409555167509;275.353455093091;245.070210409745
SYNTHETICCONTROL;BFESGA;6;0.0306497365121788;399.660696344319;78.18875
TRIPADVISOR;BFESGA;8;0.0575656056390665;334.089228493907;163.916836734694
UNIFORM400;BFESGA;7;0.122028147590169;187.52204334442;17.11875
WAVEFORM21;ESGBRKGA;13;0.00553785857832663;2911.42233805349;283.131142857143
2-FACE;BFESGA;5;0.291434102832229;150.265756887925;29.11375
BROKEN-RING;BFESGA;16;0.048178915073399;167.456067512783;16.99675
BUPA;BFESGA;4;0.188501725588013;165.224682171463;108.054658385093
FORESTFIRES;BFESGA;5;0.141530659420204;137.38188387882;184.381320806853
GAUSS9;BFESGA;7;0.147175002981477;411.035227672603;42.175
UNIFORM700;BFESGA;6;-0.0793994477050936;74.326324047788;34.6296428571429
VOWEL2;BFESGA;8;0.23443278782528;250.640742128162;34.0606060606061
