Base;Algo;K;ISM;ICH;ICS;clust_tendency
200DATA;BFESGA;5;0.570913874442942;971.813549807841;34.7942857142857;0.899466769287645
400P3C;BFESGA;5;0.463492563206353;2355.68881348038;94.546875;0.930868405936974
A1;ESGBRKGA;8;0.261363927394257;1760.69262534505;120.837714285714;0.904704439960259
BANKNOTE;ESGBRKGA;8;0.183756346205771;480.354625661248;148.782590587255;0.927867890960805
BREASTB;BFESGA;2;0.0732242855091168;4.36311825143128;15.2536443148688;0.611480595577959
CHART;BFESGA;6;0.0226596290789401;22.4867231900459;107.030476190476;0.671284191884265
CONCRETEDATA;ESGBRKGA;9;0.116127145440478;109.344143802039;99.5857016769638;0.899574199728461
DBLCA;BFESGA;5;0.0522270672795768;8.19681546924299;11.6109422492401;0.720785788319065
DOWJONES;BFESGA;6;0.376880234875698;1133.08653318422;209.077714285714;0.653503104239021
FACE;BFESGA;10;0.255089076672884;202.895075997531;8.01719901719902;0.98878806488285
GAMMA400;BFESGA;4;0.313272368638787;174.863536683019;177.011428571429;0.734836828924772
HAYES-ROTH;BFESGA;4;0.0319125205586725;10.5137914856707;11.8658008658009;0.612140321238572
INDIAN;BFESGA;4;0.171724441034393;482.462805817425;281.866590432628;0.914850988745991
MARONNA;BFESGA;6;0.393475046715193;286.33674186537;16.5475;0.791198799654188
NUMBERS2;BFESGA;8;0.272748233471984;303.0919065161;37.5566137566138;0.691792363327132
OUTLIERS;BFESGA;1;;;82.1919302071974;0.754854301273741
PARKINSONS;BFESGA;4;0.0354701761542186;14.2967120562771;42.8967032967033;0.861951721086388
RUSPINI;BFESGA;4;0.798926132904474;489.523727295298;6.30222222222222;0.812896349420486
SONAR;BFESGA;4;0.0830901397841173;14.3458636034718;22.5274725274725;0.742533344011185
SPHERICAL4D3C;BFESGA;6;0.470090528272703;2573.6740803904;17.0638461538462;0.913594277168026
SPRDESP;BFESGA;5;0.238563640048223;284.044381616751;245.070210409745;0.912579917336436
SYNTHETICCONTROL;BFESGA;6;0.0495573247788345;24.4621147999718;78.18875;0.672423667090077
TRIPADVISOR;BFESGA;8;0.0619115017926701;66.5751137578445;163.916836734694;0.828223315424575
UNIFORM400;BFESGA;7;0.122028147590169;187.52204334442;17.11875;0.499587413252052
WAVEFORM21;ESGBRKGA;13;0.0105760249014252;385.586297881172;283.131142857143;0.71974041040878
2-FACE;BFESGA;5;0.340614666477673;177.976148377807;29.11375;0.721618221279898
BROKEN-RING;BFESGA;16;0.048178915073399;167.456067512782;16.99675;0.717472773569313
BUPA;BFESGA;4;0.202255074425528;49.2605231905041;108.054658385093;0.818292860165205
FORESTFIRES;BFESGA;5;0.15199107131971;65.9045927401758;184.381320806853;0.905501527029105
GAUSS9;BFESGA;7;0.147175002981477;411.035227672604;42.175;0.607748180470016
UNIFORM700;BFESGA;6;-0.0793994477050936;74.3263240477879;34.6296428571429;0.495029213714427
VOWEL2;BFESGA;8;0.23443278782528;250.640742128162;34.0606060606061;0.775192265780596
200DATA;ASGBRKGA;3;0.78532036282998;864.621753823723;75.32;0.899466769287645
400P3C;ASGBRKGA;7;0.533464879722937;1889.11585341552;104.819069767442;0.930868405936974
A1;ASGBRKGA;6;0.0764986145230112;705.353466162513;1242.32581818182;0.904704439960259
BANKNOTE;ASGBRKGA;14;0.13635092853879;274.731634583212;264.041716686675;0.927867890960805
BREASTB;ASGBRKGA;1;;;39.7179962894249;0.611480595577959
CHART;ASGBRKGA;2;0.204057022564744;39351.8420069916;576.420952380952;0.671284191884265
CONCRETEDATA;ASGBRKGA;2;0.340267624191476;39.4845634829163;972.154261057174;0.899574199728461
DBLCA;ASGBRKGA;2;0.0957061058743503;10.4374301192272;116.942474389283;0.720785788319065
DOWJONES;ASGBRKGA;3;0.310482301452934;220.501584072062;650.467428571429;0.653503104239021
FACE;ASGBRKGA;5;0.199116589039647;12248.5920067533;86.3801801801802;0.98878806488285
GAMMA400;ASGBRKGA;2;0.574697126684658;44202.5411755292;469.870857142857;0.734836828924772
HAYES-ROTH;ASGBRKGA;2;0.117384125403385;1050.74974267536;89.5965909090909;0.612140321238572
INDIAN;ASGBRKGA;2;0.535110004656722;26325.6202707479;538.796966687731;0.914850988745991
MARONNA;ASGBRKGA;2;0.341712793570809;8847.00167513111;110.062857142857;0.791198799654188
NUMBERS2;ASGBRKGA;5;0.239285905781312;272.692594850519;148.362962962963;0.691792363327132
OUTLIERS;ASGBRKGA;1;;;123.669574700109;0.754854301273741
PARKINSONS;ASGBRKGA;2;0.189598735293011;3913.3234877471;160.330769230769;0.861951721086388
RUSPINI;ASGBRKGA;4;0.369875810221751;44.1041038188507;17.7672727272727;0.812896349420486
SONAR;ASGBRKGA;2;0.338362777875667;21.4153471239438;176.406593406593;0.742533344011185
SPHERICAL4D3C;ASGBRKGA;4;0.460719608066137;959.175454325813;112.377777777778;0.913594277168026
SPRDESP;ASGBRKGA;3;0.322858589015401;41.3004282168594;608.589534883721;0.912579917336436
SYNTHETICCONTROL;ASGBRKGA;3;0.0321800424221864;1157.24758898546;328.802352941177;0.672423667090077
TRIPADVISOR;ASGBRKGA;2;0.410637569143532;62954.4828652565;941.179336734694;0.828223315424575
UNIFORM400;ASGBRKGA;2;0.187232066744759;182998.258599857;343.155;0.499587413252052
WAVEFORM21;ASGBRKGA;8;0.0290916677507453;296.756019807299;2070.33096470588;0.71974041040878
2-FACE;ASGBRKGA;3;0.137134073171096;27.4226348045106;158.348571428571;0.721618221279898
BROKEN-RING;ASGBRKGA;7;0.13320847705583;228.665088326257;167.536176470588;0.717472773569313
BUPA;ASGBRKGA;1;;;307.030179028133;0.818292860165205
FORESTFIRES;ASGBRKGA;2;0.385297274155523;96.3730881058619;440.739560814655;0.905501527029105
GAUSS9;ASGBRKGA;4;0.135007114263267;241.571170492111;313.267936507937;0.607748180470016
UNIFORM700;ASGBRKGA;6;0.0762238491236235;146.463796941873;210.69022556391;0.495029213714427
VOWEL2;ASGBRKGA;3;0.241945432043777;380709.22917198;347.259943181818;0.775192265780596
