Base;Algo;ICS;clust_tendency;grid_type
200DATA;BFESGA;34.7942857142857;0.888921900973632;ESG
400P3C;BFESGA;94.546875;0.916677546715819;ESG
A1;ESGBRKGA;120.837714285714;0.920206853133162;ESG
BANKNOTE;ESGBRKGA;148.782590587255;0.894695892406776;ESG
BREASTB;BFESGA;15.2536443148688;0.827234160773463;ESG
CHART;BFESGA;107.030476190476;0.845525846474017;ESG
CONCRETEDATA;ESGBRKGA;99.5857016769638;0.81327478735666;ESG
DBLCA;BFESGA;11.6109422492401;0.70018702896108;ESG
DOWJONES;BFESGA;209.077714285714;0.730913969643435;ESG
FACE;BFESGA;8.01719901719902;0.905095803137083;ESG
GAMMA400;BFESGA;177.011428571429;0.761931952378293;ESG
HAYES-ROTH;BFESGA;11.8658008658009;0.552000359621082;ESG
INDIAN;BFESGA;281.866590432628;0.931323598818655;ESG
MARONNA;BFESGA;16.5475;0.752031512987305;ESG
NUMBERS2;BFESGA;37.5566137566138;0.795471408697814;ESG
OUTLIERS;BFESGA;82.1919302071974;0.745509010938729;ESG
PARKINSONS;BFESGA;42.8967032967033;0.915641683829803;ESG
RUSPINI;BFESGA;6.30222222222222;0.865741591678302;ESG
SONAR;BFESGA;22.5274725274725;0.741197326453563;ESG
SPHERICAL4D3C;BFESGA;17.0638461538462;0.784065344437177;ESG
SPRDESP;BFESGA;245.070210409745;0.90137176495243;ESG
SYNTHETICCONTROL;BFESGA;78.18875;0.826041795525772;ESG
TRIPADVISOR;BFESGA;163.916836734694;0.839889944423267;ESG
UNIFORM400;BFESGA;17.11875;0.769176479381443;ESG
WAVEFORM21;ESGBRKGA;283.131142857143;0.904013024955665;ESG
2-FACE;BFESGA;29.11375;0.753658488449588;ESG
BROKEN-RING;BFESGA;16.99675;0.746511693871478;ESG
BUPA;BFESGA;108.054658385093;0.779983532353725;ESG
FORESTFIRES;BFESGA;184.381320806853;0.91598530398449;ESG
GAUSS9;BFESGA;42.175;0.819968391427411;ESG
UNIFORM700;BFESGA;34.6296428571429;0.816964907250961;ESG
VOWEL2;BFESGA;34.0606060606061;0.7824936099965;ESG
200DATA;ASGBRKGA;75.32;0.888921900973632;ASG
400P3C;ASGBRKGA;104.819069767442;0.916677546715819;ASG
A1;ASGBRKGA;1242.32581818182;0.920206853133162;ASG
BANKNOTE;ASGBRKGA;264.041716686675;0.894695892406776;ASG
BREASTB;ASGBRKGA;39.7179962894249;0.827234160773463;ASG
CHART;ASGBRKGA;576.420952380952;0.845525846474017;ASG
CONCRETEDATA;ASGBRKGA;972.154261057174;0.81327478735666;ASG
DBLCA;ASGBRKGA;116.942474389283;0.70018702896108;ASG
DOWJONES;ASGBRKGA;650.467428571429;0.730913969643435;ASG
FACE;ASGBRKGA;86.3801801801802;0.905095803137083;ASG
GAMMA400;ASGBRKGA;469.870857142857;0.761931952378293;ASG
HAYES-ROTH;ASGBRKGA;89.5965909090909;0.552000359621082;ASG
INDIAN;ASGBRKGA;538.796966687731;0.931323598818655;ASG
MARONNA;ASGBRKGA;110.062857142857;0.752031512987305;ASG
NUMBERS2;ASGBRKGA;148.362962962963;0.795471408697814;ASG
OUTLIERS;ASGBRKGA;123.669574700109;0.745509010938729;ASG
PARKINSONS;ASGBRKGA;160.330769230769;0.915641683829803;ASG
RUSPINI;ASGBRKGA;17.7672727272727;0.865741591678302;ASG
SONAR;ASGBRKGA;176.406593406593;0.741197326453563;ASG
SPHERICAL4D3C;ASGBRKGA;112.377777777778;0.784065344437177;ASG
SPRDESP;ASGBRKGA;608.589534883721;0.90137176495243;ASG
SYNTHETICCONTROL;ASGBRKGA;328.802352941177;0.826041795525772;ASG
TRIPADVISOR;ASGBRKGA;941.179336734694;0.839889944423267;ASG
UNIFORM400;ASGBRKGA;343.155;0.769176479381443;ASG
WAVEFORM21;ASGBRKGA;2070.33096470588;0.904013024955665;ASG
2-FACE;ASGBRKGA;158.348571428571;0.753658488449588;ASG
BROKEN-RING;ASGBRKGA;167.536176470588;0.746511693871478;ASG
BUPA;ASGBRKGA;307.030179028133;0.779983532353725;ASG
FORESTFIRES;ASGBRKGA;440.739560814655;0.91598530398449;ASG
GAUSS9;ASGBRKGA;313.267936507937;0.819968391427411;ASG
UNIFORM700;ASGBRKGA;210.69022556391;0.816964907250961;ASG
VOWEL2;ASGBRKGA;347.259943181818;0.7824936099965;ASG
AGGREGATION;BFESGA;45.3423223350254;0.827137349471547;ESG
COMPOUND;BFESGA;54.7255639097744;0.762934865031211;ESG
GLASS;BFESGA;113.414965986395;0.923622847197852;ESG
ECOLI;BFESGA;8.44761904761905;0.535703302715604;ESG
FLAME;BFESGA;89.5607476635514;0.864244769732974;ESG
HABERMAN;BFESGA;100.219421101774;0.853183152632809;ESG
IRIS;BFESGA;56.985754985755;0.70061444089081;ESG
IONOSPHERE;BFESGA;14.8714285714286;0.778387816114066;ESG
JAIN;BFESGA;22.6350057449253;0.759365929410212;ESG
NEW-THYROID;BFESGA;131.111205073996;0.909695971853365;ESG
PATHBASED;BFESGA;23.1828571428571;0.770528751564765;ESG
PIMA.INDIANS;BFESGA;121.491071428571;0.832187002362316;ESG
R15;BFESGA;100.53125;0.91209387094178;ESG
SEEDS;BFESGA;10.2952380952381;0.691927193163492;ESG
SPIRAL;BFESGA;5.10489510489511;0.720521795877667;ESG
WDBC;BFESGA;286.732613607833;0.856890639242855;ESG
WINE;BFESGA;11.4911717495987;0.736655129973984;ESG
YEAST;ESGBRKGA;441.671495956873;0.934796514773332;ESG
AGGREGATION;ASGBRKGA;290.110779337116;0.827137349471547;ASG
COMPOUND;ASGBRKGA;145.55980861244;0.762934865031211;ASG
GLASS;ASGBRKGA;302.475;0.923622847197852;ASG
ECOLI;ASGBRKGA;110.3375;0.535703302715604;ASG
