Base;clust_tendency
200DATA;0.899466769287645
400P3C;0.930868405936974
A1;0.904704439960259
BANKNOTE;0.927867890960805
BREASTB;0.611480595577959
CHART;0.671284191884265
CONCRETEDATA;0.899574199728461
DBLCA;0.720785788319065
DOWJONES;0.653503104239021
FACE;0.98878806488285
GAMMA400;0.734836828924772
HAYES-ROTH;0.612140321238572
INDIAN;0.914850988745991
MARONNA;0.791198799654188
NUMBERS2;0.691792363327132
OUTLIERS;0.754854301273741
PARKINSONS;0.861951721086388
RUSPINI;0.812896349420486
SONAR;0.742533344011185
SPHERICAL4D3C;0.913594277168026
SPRDESP;0.912579917336436
SYNTHETICCONTROL;0.672423667090077
TRIPADVISOR;0.828223315424575
UNIFORM400;0.499587413252052
WAVEFORM21;0.71974041040878
2-FACE;0.721618221279898
BROKEN-RING;0.717472773569313
BUPA;0.818292860165205
FORESTFIRES;0.905501527029105
GAUSS9;0.607748180470016
UNIFORM700;0.495029213714427
VOWEL2;0.775192265780596
AGGREGATION;0.654350607768109
COMPOUND;0.583814526789121
GLASS;0.905757571591281
ECOLI;0.522036870699896
FLAME;0.894137905922958
HABERMAN;0.785595379706673
IRIS;0.685031595694883
IONOSPHERE;0.821186883185849
JAIN;0.845760574079516
NEW-THYROID;0.908177098579116
PATHBASED;0.710013194677643
PIMA.INDIANS;0.805243025898692
R15;0.913597807858617
SEEDS;0.810122934034439
SPIRAL;0.730527876425689
WDBC;0.850313438203972
WINE;0.714152564588751
YEAST;0.917078636666042
