Base,Algo,Rand,clust_tendency,grid_type
AGGREGATION,BFESGA,0.349665319845413,0.654350607768109,ESG
COMPOUND,BFESGA,0.631957453793689,0.583814526789121,ESG
GLASS,BFESGA,0.528043718397602,0.905757571591281,ESG
ECOLI,BFESGA,0.247317877400185,0.522036870699896,ESG
FLAME,BFESGA,0.161248995920229,0.894137905922958,ESG
HABERMAN,BFESGA,0.0674041774254512,0.785595379706673,ESG
IRIS,BFESGA,0.0662098894547018,0.685031595694883,ESG
IONOSPHERE,BFESGA,0.417966959790108,0.821186883185849,ESG
JAIN,BFESGA,0.247128857406957,0.845760574079516,ESG
NEW-THYROID,BFESGA,0.634546019300249,0.908177098579116,ESG
PATHBASED,BFESGA,0.370641131645062,0.710013194677643,ESG
PIMA.INDIANS,BFESGA,0.120250313954501,0.805243025898692,ESG
R15,BFESGA,0.26288699991953,0.913597807858617,ESG
SEEDS,BFESGA,0.353858298589234,0.810122934034439,ESG
SPIRAL,BFESGA,0.0858052282553016,0.730527876425689,ESG
WDBC,BFESGA,0.159821308583863,0.850313438203972,ESG
WINE,BFESGA,0.447682456817475,0.714152564588751,ESG
YEAST,ESGBRKGA,0.0881969925209666,0.917078636666042,ESG
AGGREGATION,ASGBRKGA,0.399579968315961,0.654350607768109,ASG
COMPOUND,ASGBRKGA,0.348735995191138,0.583814526789121,ASG
GLASS,ASGBRKGA,0.0450729024200302,0.905757571591281,ASG
ECOLI,ASGBRKGA,0.0493759964156224,0.522036870699896,ASG
FLAME,ASGBRKGA,0.0824353302193672,0.894137905922958,ASG
HABERMAN,ASGBRKGA,0.0866057780655422,0.785595379706673,ASG
IRIS,ASGBRKGA,-0.0107714686423049,0.685031595694883,ASG
IONOSPHERE,ASGBRKGA,0.000256217272246862,0.821186883185849,ASG
JAIN,ASGBRKGA,0.546616513522547,0.845760574079516,ASG
NEW-THYROID,ASGBRKGA,0.106645130171634,0.908177098579116,ASG
PATHBASED,ASGBRKGA,0.00470693563349593,0.710013194677643,ASG
PIMA.INDIANS,ASGBRKGA,-0.0101364168171599,0.805243025898692,ASG
R15,ASGBRKGA,0.172110735314926,0.913597807858617,ASG
SEEDS,ASGBRKGA,0.250627188074289,0.810122934034439,ASG
SPIRAL,ASGBRKGA,0.0473521249975552,0.730527876425689,ASG
WDBC,ASGBRKGA,0.0122418448318612,0.850313438203972,ASG
WINE,ASGBRKGA,0.316787265548707,0.714152564588751,ASG
YEAST,ASGBRKGA,-0.00195165273288331,0.917078636666042,ASG
