Base,Algo,ISM,clust_tendency,grid_type
AGGREGATION,BFESGA,0.0549505598613103,0.654350607768109,ESG
COMPOUND,BFESGA,0.320202195821093,0.583814526789121,ESG
GLASS,BFESGA,0.340683452190226,0.905757571591281,ESG
ECOLI,BFESGA,0.220932663681025,0.522036870699896,ESG
FLAME,BFESGA,0.416181766533967,0.894137905922958,ESG
HABERMAN,BFESGA,0.17989314779846,0.785595379706673,ESG
IRIS,BFESGA,0.152987900516761,0.685031595694883,ESG
IONOSPHERE,BFESGA,0.301595609832978,0.821186883185849,ESG
JAIN,BFESGA,0.406439253789483,0.845760574079516,ESG
NEW-THYROID,BFESGA,0.538034484842244,0.908177098579116,ESG
PATHBASED,BFESGA,0.311672187171212,0.710013194677643,ESG
PIMA.INDIANS,BFESGA,0.140084576025969,0.805243025898692,ESG
R15,BFESGA,0.505811815542615,0.913597807858617,ESG
SEEDS,BFESGA,0.0877379723923514,0.810122934034439,ESG
SPIRAL,BFESGA,0.292268045415532,0.730527876425689,ESG
WDBC,BFESGA,0.14994092390948,0.850313438203972,ESG
WINE,BFESGA,0.11984661866881,0.714152564588751,ESG
YEAST,ESGBRKGA,0.112569487895439,0.917078636666042,ESG
AGGREGATION,ASGBRKGA,0.0660529470069453,0.654350607768109,ASG
COMPOUND,ASGBRKGA,0.248657517768008,0.583814526789121,ASG
GLASS,ASGBRKGA,0.156397828536946,0.905757571591281,ASG
ECOLI,ASGBRKGA,0.225946301746262,0.522036870699896,ASG
FLAME,ASGBRKGA,0.480421221969117,0.894137905922958,ASG
HABERMAN,ASGBRKGA,0.446369794605291,0.785595379706673,ASG
IRIS,ASGBRKGA,0.182826394092163,0.685031595694883,ASG
IONOSPHERE,ASGBRKGA,-0.0159955721076213,0.821186883185849,ASG
JAIN,ASGBRKGA,0.203447730588009,0.845760574079516,ASG
NEW-THYROID,ASGBRKGA,0.668597309254464,0.908177098579116,ASG
PATHBASED,ASGBRKGA,0.180017146730655,0.710013194677643,ASG
PIMA.INDIANS,ASGBRKGA,0.192674136657397,0.805243025898692,ASG
R15,ASGBRKGA,0.384710933300516,0.913597807858617,ASG
SEEDS,ASGBRKGA,0.441108038004482,0.810122934034439,ASG
SPIRAL,ASGBRKGA,0.164088813532991,0.730527876425689,ASG
WDBC,ASGBRKGA,0.528389180205648,0.850313438203972,ASG
WINE,ASGBRKGA,0.162103041031575,0.714152564588751,ASG
YEAST,ASGBRKGA,0.361744265754743,0.917078636666042,ASG
