Base,K,ISM,algo,data_type,IRA,K_prime
AGGREGATION,35,0.308498237619473,DBSCAN,CLASSF,0.372814130531472,7
AGGREGATION,9,0.212388195396774,STATGDBC,CLASSF,0.875419842118583,7
COMPOUND,5,0.228406314660343,DBSCAN,CLASSF,0.395010607480492,6
COMPOUND,7,0.258552754668598,STATGDBC,CLASSF,0.184599872029222,6
ECOLI,8,0.343943905566512,DBSCAN,CLASSF,0.256052401556669,8
ECOLI,6,0.113569386085536,STATGDBC,CLASSF,0.173837243258688,8
FLAME,5,0.598669056532524,DBSCAN,CLASSF,0.0099957407577137,2
FLAME,3,0.30370108387713,STATGDBC,CLASSF,0.446772837329929,2
GLASS,2,0.478540602390272,DBSCAN,CLASSF,0.156766481171089,6
GLASS,2,0.326828300761838,STATGDBC,CLASSF,0.617806317662853,6
HABERMAN,2,0.171624520071406,DBSCAN,CLASSF,0.616603543583717,2
HABERMAN,4,0.215452117387521,STATGDBC,CLASSF,0.0954262764485136,2
IONOSPHERE,1,,DBSCAN,CLASSF,0.274616527598413,2
IONOSPHERE,6,0.133483385134549,STATGDBC,CLASSF,0.399156127367926,2
IRIS,2,0.480895259301457,DBSCAN,CLASSF,0.231100348347423,3
IRIS,6,0.179223225119934,STATGDBC,CLASSF,0.0372261973190189,3
JAIN,10,0.169789185882656,DBSCAN,CLASSF,0.438434596267946,2
JAIN,4,0.424731948740898,STATGDBC,CLASSF,0.0723713868250946,2
NEW-THYROID,1,,DBSCAN,CLASSF,0.508867622860652,3
NEW-THYROID,5,0.514764640900524,STATGDBC,CLASSF,0.624908647136182,3
PATHBASED,3,0.406146158408413,DBSCAN,CLASSF,0.456982052214982,3
PATHBASED,8,0.278607614833217,STATGDBC,CLASSF,0.0888839363912627,3
PIMA.INDIANS,8,0.11315474635118,DBSCAN,CLASSF,0.131009349617379,2
PIMA.INDIANS,6,0.135060324652852,STATGDBC,CLASSF,0.0387756084596645,2
R15,20,0.731754422700121,DBSCAN,CLASSF,0.0748071238885567,15
R15,9,0.505811815542615,STATGDBC,CLASSF,0.317156586124934,15
SEEDS,3,0.307990403513983,DBSCAN,CLASSF,0.339099497225787,3
SEEDS,6,0.142433510432297,STATGDBC,CLASSF,0.629699257849008,3
SPIRAL,3,0.225965619752355,DBSCAN,CLASSF,0.379801439197104,3
SPIRAL,12,0.288784000147423,STATGDBC,CLASSF,0.075744920056525,3
WDBC,3,0.412946009034468,DBSCAN,CLASSF,0.26288699991953,2
WDBC,4,0.252516274268665,STATGDBC,CLASSF,0.38702208304522,2
WINE,2,0.446865322201687,DBSCAN,CLASSF,0.0838608151826102,3
WINE,5,0.15447869330183,STATGDBC,CLASSF,0.106067951960573,3
YEAST,18,-0.057096569534522,DBSCAN,CLASSF,0.53647057282856,10
YEAST,5,0.131664245370818,STATGDBC,CLASSF,0.0603129794923152,10
