Base;K;ISM
200DATA;8;0.639285998783891
400P3C;12;0.131654888577282
A1;88;0.298953721086897
BANKNOTE;30;-0.121868830814429
BREASTB;1;
CHART;1;
CONCRETEDATA;18;0.107342199232634
DBLCA;1;
DOWJONES;5;0.611327507083466
FACE;13;0.532599010690888
GAMMA400;8;0.135006039870832
HAYES-ROTH;4;0.0954589456875565
INDIAN;3;0.460680172036286
MARONNA;15;0.494816470193791
NUMBERS2;19;0.691967234543653
OUTLIERS;2;0.275493664239567
PARKINSONS;1;
RUSPINI;5;0.77680662382806
SONAR;1;
SPHERICAL4D3C;7;0.76710329321755
SPRDESP;17;-0.123596380470521
SYNTHETICCONTROL;3;-0.149716740994427
TRIPADVISOR;11;-0.245567152085165
UNIFORM400;28;0.521217126880389
WAVEFORM21;3;-0.317402421620071
AGGREGATION;35;0.308498237619473
COMPOUND;5;0.228406314660343
GLASS;2;0.478540602390272
ECOLI;8;0.343943905566512
FLAME;5;0.598669056532524
HABERMAN;2;0.171624520071406
IONOSPHERE;1;
IRIS;2;0.480895259301457
JAIN;10;0.169789185882656
NEW-THYROID;1;
PATHBASED;3;0.406146158408413
PIMA.INDIANS;8;0.11315474635118
R15;20;0.731754422700121
SEEDS;3;0.307990403513983
SPIRAL;3;0.225965619752355
WDBC;3;0.412946009034468
WINE;2;0.446865322201687
YEAST;18;-0.057096569534522
2-FACE;12;0.550373997825828
BROKEN-RING;41;0.412324819813421
BUPA;2;0.585705428145357
FORESTFIRES;6;0.377954569989284
GAUSS9;35;0.385751715538529
UNIFORM700;45;0.499306471048464
VOWEL2;26;0.492504848183369
