Base;K;IRA;clust.fobj
AGGREGATION;9;0.508867622860652;Calinski-Harabasz
COMPOUND;8;0.621930694625111;Calinski-Harabasz
GLASS;2;0.456982052214982;Calinski-Harabasz
ECOLI;4;0.0706023103312075;Calinski-Harabasz
FLAME;3;0.131009349617379;Calinski-Harabasz
HABERMAN;4;0.0387756084596645;Calinski-Harabasz
IRIS;5;0.0767495559933029;Calinski-Harabasz
IONOSPHERE;6;0.317156586124934;Calinski-Harabasz
JAIN;4;0.339099497225787;Calinski-Harabasz
NEW-THYROID;3;0.619595489459203;Calinski-Harabasz
PATHBASED;8;0.379801439197104;Calinski-Harabasz
PIMA.INDIANS;6;0.075744920056525;Calinski-Harabasz
R15;9;0.26288699991953;Calinski-Harabasz
SEEDS;5;0.407703483279021;Calinski-Harabasz
SPIRAL;12;0.0838608151826102;Calinski-Harabasz
WDBC;4;0.106067951960573;Calinski-Harabasz
WINE;5;0.53647057282856;Calinski-Harabasz
YEAST;6;0.0881969925209666;Calinski-Harabasz
AGGREGATION;9;0.508867622860652;Silhueta Média
COMPOUND;6;0.626897840724004;Silhueta Média
GLASS;2;0.456982052214982;Silhueta Média
ECOLI;5;0.163560696803658;Silhueta Média
FLAME;3;0.131009349617379;Silhueta Média
HABERMAN;4;0.0387756084596645;Silhueta Média
IRIS;6;0.0781535361168839;Silhueta Média
IONOSPHERE;6;0.317156586124934;Silhueta Média
JAIN;4;0.339099497225787;Silhueta Média
NEW-THYROID;3;0.619595489459203;Silhueta Média
PATHBASED;8;0.379801439197104;Silhueta Média
PIMA.INDIANS;6;0.075744920056525;Silhueta Média
R15;9;0.26288699991953;Silhueta Média
SEEDS;6;0.38702208304522;Silhueta Média
SPIRAL;12;0.0838608151826102;Silhueta Média
WDBC;4;0.106067951960573;Silhueta Média
WINE;5;0.53647057282856;Silhueta Média
YEAST;3;0.108421492327522;Silhueta Média
